Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Nov 25, 2025",$54.00,$0.00,,,Auction,,1
,,"Nov 24, 2025",$54.99,$5.99,,,Fixed price,,1
,,"Nov 23, 2025",$39.00,$6.59,,,Fixed price,,1
,,"Nov 19, 2025",$56.69,$0.00,,,Auction,,1
,,"Nov 19, 2025",$50.65,$3.69,,,Auction,,1
,,"Nov 19, 2025",$87.00,$0.00,,,Auction,,1
,,"Nov 18, 2025",$55.00,$0.00,,,Fixed price,,5
,,"Nov 18, 2025",$275.00,$0.00,,,Fixed price,,1
,,"Nov 18, 2025","$1,231.78",$26.00,,,Fixed price,,1
1998 P S$1 Proof Silver American Eagle Dollar NGC Graded PF 69 Ultra Cameo,297649851195,"Nov 17, 2025",$85.25,$0.00,,,Fixed price,https://www.ebay.com/itm/297649851195
,,"Nov 17, 2025",$59.08,$0.00,,,Auction,,1
,,"Nov 17, 2025",$55.51,$1.02,,,Auction,,1
,,"Nov 15, 2025",$266.99,$0.00,,,Auction,,1
,,"Nov 14, 2025",$83.00,$0.00,,,Fixed price,,1
,,"Nov 13, 2025",$59.07,$0.00,,,Fixed price,
,,"Nov 13, 2025","$1,127.00",$0.00,,,Auction,,1
,,"Nov 12, 2025",$56.56,$5.49,,,Fixed price,
,,"Nov 9, 2025",$324.99,$0.00,,,Fixed price,,1
,,"Nov 9, 2025",$65.00,$5.09,,,Auction,,1
,,"Nov 9, 2025",$68.03,$0.00,,,Auction,,1
,,"Nov 8, 2025",$55.00,$0.00,,,Auction,,1
,,"Nov 7, 2025",$55.00,$0.00,,,Auction,,1
,,"Nov 7, 2025",$53.05,$0.00,,,Auction,,1
,,"Nov 3, 2025",$72.95,$0.00,,,Auction,,1
,,"Nov 2, 2025",$79.99,$7.00,,,Fixed price,,1
,,"Nov 2, 2025",$275.99,$0.00,,,Auction,,1
,,"Nov 2, 2025",$59.00,$0.00,,,Auction,,1
,,"Nov 1, 2025",$85.50,$0.00,,,Fixed price,,1
,,"Nov 1, 2025",$55.00,$0.00,,,Auction,,1
,,"Oct 31, 2025",$299.86,$0.00,,,Fixed price,,1
,,"Oct 31, 2025",$58.00,$0.00,,,Auction,,1
,,"Oct 29, 2025",$61.95,$0.00,,,Fixed price,,1
,,"Oct 29, 2025",$49.51,$0.00,,,Auction,,1
,,"Oct 28, 2025",$49.00,$0.00,,,Auction,,1
,,"Oct 28, 2025",$50.05,$0.00,,,Auction,,1
,,"Oct 25, 2025",$55.00,$0.00,,,Auction,,1
,,"Oct 25, 2025",$73.95,$0.00,,,Auction,,1
,,"Oct 24, 2025",$272.00,$0.00,,,Fixed price,,1
,,"Oct 24, 2025",$54.01,$0.00,,,Auction,,1
,,"Oct 24, 2025",$54.00,$0.00,,,Auction,,1
