Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Early - 1896-O Morgan Silver Dollar - 90% US Coin *532,127770896929,"Mar 30, 2026",$71.00,$0.00,,,Auction,https://www.ebay.com/itm/127770896929,1
1896-O Morgan Dollar Better Date Choice XF Nice Original Pleasing surfaces,127777024887,"Apr 4, 2026",$74.00,$5.20,,,Auction,https://www.ebay.com/itm/127777024887,1
RARE! 1896 O Morgan Silver Dollar ~ KEY DATE ~ 90% Silver $1,117131315179,"Apr 14, 2026",$80.00,$2.06,,,Auction,https://www.ebay.com/itm/117131315179,1
1896-O Morgan Silver Dollar Better Date,117134287634,"Apr 14, 2026",$56.00,$6.99,,,Auction,https://www.ebay.com/itm/117134287634,1
,,"Jan 14, 2026",$59.50,$4.75,,,Fixed price,,1
,,"Jan 14, 2026",$92.95,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$65.00,$6.09,,,Fixed price,,1
,,"Jan 14, 2026",$73.00,$2.42,,,Auction,,1
,,"Jan 15, 2026",$72.18,$0.00,,,Auction,,1
,,"Jan 17, 2026",$74.00,$0.00,,,Auction,,1
,,"Jan 17, 2026",$275.00,$5.00,,,Fixed price,,1
