Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1994-Mo (MS68) 1 oz Mexico Silver Libertad Onza PCGS - Superb GEM!,177586916685,"Jan 16, 2026",$274.99,$0.00,,,Fixed price,https://www.ebay.com/itm/177586916685
1994 Mexico Pre Columbian Mayan Dintel 26 1 oz Silver .999 N$5 Peso Coin,227177047453,"Jan 16, 2026",$199.99,$4.69,,,Fixed price,https://www.ebay.com/itm/227177047453,1
,,"Jan 16, 2026",$199.99,$4.69,,,Fixed price,,1
1994 Mo Mexico Libertad Onza 1 oz .999 Silver BU - SKU-Q2923,187945122375,"Jan 13, 2026",$110.00,$5.50,,,Fixed price,https://www.ebay.com/itm/187945122375,1
,,"Jan 13, 2026",$110.00,$5.50,,,Fixed price,,1
1994 Mo Mexico 1 Onza Libertad Uncirculated 1 oz. Silver Coin – NGC MS65,147075627188,"Jan 12, 2026",$132.50,$4.76,,,Auction,https://www.ebay.com/itm/147075627188
,,"Jan 12, 2026",$132.50,$4.76,,,Auction,,1
,,"Jan 10, 2026",$105.50,$4.25,,,Auction,,1
,,"Jan 8, 2026",$104.99,$4.50,,,Fixed price,,1
,,"Jan 7, 2026",$111.50,$4.60,,,Auction,,1
,,"Jan 6, 2026",$121.50,$6.00,,,Auction,,1
,,"Jan 4, 2026",$91.00,$6.00,,,Auction,,1
,,"Jan 4, 2026","$1,324.50",$6.00,,,Auction,,1
,,"Jan 2, 2026",$95.00,$5.25,,,Fixed price,,1
,,"Jan 2, 2026",$155.00,$0.00,,,Fixed price,,1
,,"Jan 1, 2026",$95.00,$5.25,,,Fixed price,,1
,,"Jan 1, 2026",$136.00,$0.00,,,Auction,,1
,,"Dec 30, 2025",$83.00,$4.54,,,Auction,,1
,,"Dec 28, 2025",$99.00,$6.00,,,Fixed price,
,,"Dec 28, 2025",$142.45,$0.00,,,Fixed price,
