Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Mar 7, 2026",$63.87,$0.00,,,Fixed price,,38
1899-O $1 PCGS MS65 MORGAN SILVER DOLLAR ~ GORGEOUS COLOR & STRIKE!,117072248648,"Mar 6, 2026",$285.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117072248648,1
Lot of 2 – 1899-O & 1882-S Morgan Silver Dollars – 90% Silver – Circulated,117062579157,"Mar 5, 2026",$137.00,$7.95,,,Fixed price,https://www.ebay.com/itm/117062579157,1
1899-O Micro O Morgan Silver Dollar (cn16361),117044886188,"Mar 4, 2026",$120.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117044886188,1
1899-O Morgan Silver Dollar $1 90% Silver New Orleans Mint Circulated US Coin,117058097981,"Mar 2, 2026",$71.00,$5.07,,,Auction,https://www.ebay.com/itm/117058097981,1
1899-P Morgan Silver Dollar NGC AU 55,117052457450,"Mar 1, 2026",$202.50,$5.07,,,Auction,https://www.ebay.com/itm/117052457450,1
1899 Morgan Silver Dollar MS63 CAC CACg *0851,127168392945,"Mar 1, 2026",$449.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127168392945,1
"1899 Morgan Silver Dollar Silver Coin, Nice Lustrous Gem BU++ Better Date",127304958666,"Mar 1, 2026",$239.99,$7.55,,,Fixed price,https://www.ebay.com/itm/127304958666,1
1899 O Morgan Silver Dollar Semi Key Date $1,117017372779,"Feb 28, 2026",$62.22,$5.00,,,Fixed price,https://www.ebay.com/itm/117017372779,1
1899-O Morgan Silver Dollar AU++ (cn16316),117042654555,"Feb 28, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117042654555,1
XF 1899-O Morgan Silver Dollar (1 coin),365896075745,"Feb 27, 2026",$56.75,$0.00,,,Fixed price,https://www.ebay.com/itm/365896075745
XF 1899-O Morgan Silver Dollar (1 coin),365896075745,"Feb 27, 2026",$57.13,$0.00,,,Fixed price,https://www.ebay.com/itm/365896075745,18
XF 1899-O Morgan Silver Dollar (1 coin),365896075745,"Feb 27, 2026",$57.66,$0.00,,,Fixed price,https://www.ebay.com/itm/365896075745,17
1899 Micro o Morgan Silver $1 Dollar Coin Inv #Sd 99-0 #dealer 304,117046708900,"Feb 26, 2026",$68.01,$0.00,,,Auction,https://www.ebay.com/itm/117046708900,1
1899-O MS64 Flashy Surfaces PCGS New Orleans Mint Morgan Silver Dollar,117044495960,"Feb 25, 2026",$140.50,$5.50,,,Auction,https://www.ebay.com/itm/117044495960,1
1899-O Morgan Silver Dollar PCGS Graded MS65,117021098316,"Feb 24, 2026",$200.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117021098316,1
1899 Morgan Silver Dollar Better Date (cn16083),117019205989,"Feb 21, 2026",$190.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117019205989,1
1899-O Morgan Silver Dollar Micro O (cn16322),117042704092,"Feb 21, 2026",$100.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117042704092,1
1899 O Morgan Silver Dollar $1 New Orleans United States Coin,117028671844,"Feb 19, 2026",$65.00,$0.00,,,Auction,https://www.ebay.com/itm/117028671844,1
1899-O $1 Morgan Silver Dollar,117024920206,"Feb 14, 2026",$71.00,$5.56,,,Auction,https://www.ebay.com/itm/117024920206,1
1899 S Morgan Silver Dollar NGC AU-55,117028964139,"Feb 14, 2026",$305.00,$5.00,,,Auction,https://www.ebay.com/itm/117028964139,1
1899 O Morgan Silver Dollar NGC MS62,117028995456,"Feb 14, 2026",$93.00,$5.07,,,Auction,https://www.ebay.com/itm/117028995456,1
1899 Morgan Silver Dollar MS65 ICG *1782,126785997784,"Feb 14, 2026",$899.95,$0.00,,,Fixed price,https://www.ebay.com/itm/126785997784,1
1899-O MS 64 NGC Morgan Silver Dollar Beautiful Mirror Like With Toning,126936311413,"Feb 13, 2026",$122.00,$5.39,,,Fixed price,https://www.ebay.com/itm/126936311413,1
1899-O MS63 Stunning PCGS New Orleans Mint Morgan Silver Dollar,117021473360,"Feb 12, 2026",$89.00,$5.15,,,Auction,https://www.ebay.com/itm/117021473360,1
1899-O MS63 Silky Surfaces PCGS New Orleans Mint Morgan Silver Dollar,117021475358,"Feb 12, 2026",$87.00,$5.15,,,Auction,https://www.ebay.com/itm/117021475358,1
1899-O Morgan Dollar PCGS XF-45 Micro O,117031855358,"Feb 12, 2026",$146.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117031855358,1
1899 O MORGAN SILVER DOLLAR! BEAUTIFUL UNCIRCULATED Coin! WOW! Light Tone,117030201990,"Feb 11, 2026",$97.85,$4.00,,,Auction,https://www.ebay.com/itm/117030201990,1
1899 Morgan silver dollar. White BU. CAC MS61. (green bean of course) #u2d14,116994107803,"Feb 7, 2026",$259.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116994107803,1
1899 O Morgan Silver Dollar PCGS MS64 OGH (old green holder),117001449483,"Feb 7, 2026",$124.00,$5.89,,,Fixed price,https://www.ebay.com/itm/117001449483,1
1899 O MORGAN SILVER DOLLAR CACG MS63,276967692339,"Feb 5, 2026",$119.95,$0.00,,,Fixed price,https://www.ebay.com/itm/276967692339
,,"Feb 5, 2026",$119.95,$0.00,,,Fixed price,,2
✯1899 O Uncirculated Morgan Silver Dollar 1x Choice/Gem BU From OBW Roll Estate✯,284331162009,"Feb 4, 2026",$129.67,$0.00,,,Fixed price,https://www.ebay.com/itm/284331162009,3
,,"Feb 3, 2026",$84.50,$0.00,,,Fixed price,
Nice 1899 O Morgan Silver Dollar in slab UNC Condition. 26.79 grams weight.,117003091207,"Feb 3, 2026",$70.00,$5.20,,,Fixed price,https://www.ebay.com/itm/117003091207,1
1899-O $1 Morgan Silver Dollar,117015627649,"Feb 2, 2026",$40.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117015627649,1
1899-O VAM-12 Morgan Dollar ANACS MS62,117009703791,"Jan 30, 2026",$82.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117009703791,1
3 Morgan Silver Dollars 1880-O/1899-O/1884-P,116999351743,"Jan 29, 2026",$189.00,$8.00,,,Fixed price,https://www.ebay.com/itm/116999351743,1
UNC+ 1899-O MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR QUALITY M-1315,117006530443,"Jan 29, 2026",$84.00,$2.29,,,Fixed price,https://www.ebay.com/itm/117006530443,1
1899-O Morgan Dollar PCGS Graded MS63,117007784148,"Jan 29, 2026",$99.00,$5.52,,,Fixed price,https://www.ebay.com/itm/117007784148,1
✯ 1878-1899 ~PRE 1900~ Silver Morgan Dollars From Bag Old Estate Hoard Sale ✯,285601350273,"Jan 28, 2026",$61.68,$0.00,,,Fixed price,https://www.ebay.com/itm/285601350273,4
1899-P MORGAN SILVER DOLLAR 🔔Free Shipping🔔Magnet Tested🔔 BU COIN🔔SEALED$#%#,376886037421,"Jan 28, 2026",$21.32,$0.00,,,Fixed price,https://www.ebay.com/itm/376886037421,3
